variant,Totalvalue,Vrijstand,waterPieces,waterarea
40,18479933.880000003,391.3904278870941,1,[19200]
20,11075317.339999998,306.6574082321063,4,"[4182, 13370, 821, 827]"
60,24988432.490000002,389.30099663777247,2,"[7684, 11516]"
40,18782010.259999998,416.5587463351376,3,"[8224, 913, 10063]"
20,11381115.0,347.5,4,"[3188, 9396, 5061, 1555]"
60,25197902.68,410.09332296087024,1,[19200]
40,18528561.74,376.75165679061763,3,"[17515, 1573, 112]"
20,10647397.04,322.3678813087062,3,"[1046, 12935, 5219]"
60,24981329.49,389.6046246795285,3,"[7538, 7014, 4648]"
40,18317497.42,385.4476634909761,4,"[15672, 2673, 13, 842]"
20,11230463.969999997,344.6505533077113,1,[19200]
60,25486953.09,425.8228483367976,4,"[4435, 1473, 1065, 12227]"
40,18750740.700000003,403.7866311107465,4,"[13459, 2555, 1230, 1956]"
20,10922566.409999998,337.24291530850263,2,"[17857, 1343]"
60,25471835.419999998,407.0376275344121,4,"[10998, 1346, 870, 5986]"
40,18492706.78,391.00020712190474,1,[19200]
20,11849196.19,357.34143047285534,3,"[8123, 2548, 8529]"
60,24978179.58,395.08227889833444,4,"[3127, 7736, 338, 7999]"
40,18527014.580000002,382.51681502362356,4,"[11798, 3901, 412, 3089]"
20,11402816.46,299.81990062215795,1,[19200]
60,25418065.84,390.5293239800085,1,[19200]
40,18876327.04,409.94223908217845,4,"[2073, 5796, 9868, 1463]"
20,11578841.95,347.47191719132707,1,[19200]
60,25280611.67,395.31477501670963,4,"[12093, 868, 216, 6023]"
40,18466943.32,395.4846644413068,3,"[9592, 6390, 3218]"
20,10771031.969999999,309.408364414948,1,[19200]
60,25083738.279999997,410.64470542843463,2,"[4684, 14516]"
40,19120987.3,445.48353962071764,2,"[1683, 17517]"
20,10645612.41,289.83925945115084,1,[19200]
60,25584087.159999996,429.70881021993637,3,"[7319, 9639, 2242]"
40,18499484.98,382.15601381239094,2,"[17346, 1854]"
20,11367693.53,310.2995777056667,3,"[14349, 1778, 3073]"
60,25167238.259999998,401.198830508204,3,"[7844, 5821, 5535]"
