variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,21841684.740000002,182.0415229867973,4,"[2860, 5171, 10308, 861]"
40,14562861.100000001,122.14522452813983,2,"[12192, 7008]"
20,7262100.0,59.0,2,"[15053, 4147]"
60,21805936.25,178.985725792633,4,"[15900, 177, 2647, 476]"
40,14536455.0,119.0,1,[19200]
20,7299435.0,62.5,1,[19200]
60,21801201.93,177.70156211871642,3,"[17170, 1770, 260]"
40,14561426.67,120.74308510551371,2,"[18031, 1169]"
20,7301205.0,61.5,4,"[3533, 2461, 527, 12679]"
60,21808823.34,178.76498204307083,3,"[14279, 2274, 2647]"
40,14587838.31,123.36825985093769,1,[19200]
20,7315227.12,61.03553390593274,3,"[1764, 2931, 14505]"
60,21825154.740000002,180.5415229867973,3,"[18044, 548, 608]"
40,14611657.76,122.7133796929634,4,"[14342, 2311, 145, 2402]"
20,7297819.74,63.04152298679729,1,[19200]
60,21821694.08,180.86720964751112,3,"[1360, 3301, 14539]"
40,14568098.34,122.26498204307083,4,"[7381, 3822, 1248, 6749]"
20,7325655.0,66.0,4,"[14023, 2733, 2065, 379]"
60,21768141.93,174.70156211871642,2,"[6876, 12324]"
40,14563253.34,121.26498204307083,2,"[3858, 15342]"
20,7258973.34,57.76498204307083,2,"[8601, 10599]"
60,21806535.0,178.5,3,"[17802, 45, 1353]"
40,14523333.11,117.22235940811257,2,"[15540, 3660]"
20,7309755.0,62.5,3,"[18633, 395, 172]"
60,21811521.93,177.70156211871642,3,"[13712, 4900, 588]"
40,14537660.339999996,119.50607866363472,1,[19200]
20,7347614.28,65.76388239490986,4,"[7369, 215, 2195, 9421]"
60,21782216.18,176.02079728939614,2,"[13978, 5222]"
40,14557830.0,121.5,4,"[17176, 1246, 442, 336]"
20,7287180.0,61.5,2,"[7900, 11300]"
60,21832760.39,181.86440544907336,2,"[17086, 2114]"
40,14542681.749999998,119.59205022684854,3,"[13525, 1543, 4132]"
20,7385728.58,68.28423526591159,4,"[9033, 6100, 3761, 306]"
60,21812884.58,179.24264068711926,3,"[1445, 6063, 11692]"
40,14577139.56,123.25686526689593,1,[19200]
20,7310955.0,61.0,4,"[14357, 3020, 956, 867]"
60,21819479.56,180.2726299305819,4,"[2753, 13435, 1439, 1573]"
40,14541300.0,120.0,4,"[6868, 103, 5511, 6718]"
20,7306369.74,64.04152298679729,3,"[8949, 3140, 7111]"
60,21835890.0,181.5,3,"[12249, 6707, 244]"
40,14572667.17,122.45263399422925,1,[19200]
20,7281363.050000001,59.884758320075086,1,[19200]
60,21816604.740000002,179.5415229867973,2,"[2590, 16610]"
40,14580337.579999998,123.5244445809925,1,[19200]
20,7306715.29,62.40312423743285,3,"[11903, 1215, 6082]"
60,21808624.740000002,179.0415229867973,4,"[13853, 2539, 2508, 300]"
40,14585717.29,123.12132034355965,4,"[213, 2152, 16722, 113]"
20,7287750.0,62.0,4,"[14208, 4070, 117, 805]"
60,21793689.759999998,176.82554493906568,1,[19200]
40,14638953.209999999,128.18364061975308,2,"[10932, 8268]"
20,7320217.42,62.686323781461425,2,"[13992, 5208]"
60,21817133.64,179.6031473916011,2,"[12220, 6980]"
40,14590890.0,124.5,3,"[10619, 2544, 6037]"
20,7320679.74,61.04152298679729,2,"[12597, 6603]"
60,21894184.740000002,186.5415229867973,2,"[13612, 5588]"
40,14556054.35,120.40312423743285,3,"[5755, 3846, 9599]"
20,7304280.0,63.5,2,"[3576, 15624]"
60,21827040.759999998,181.2634379765154,3,"[13617, 4113, 1470]"
40,14594327.29,121.62132034355965,3,"[9645, 8821, 734]"
20,7266375.0,59.5,4,"[12433, 5221, 550, 996]"
60,21791042.29,177.12132034355963,1,[19200]
40,14560965.0,121.0,3,"[409, 1553, 17238]"
20,7325613.44,65.64576492455214,2,"[14025, 5175]"
60,21780030.92,176.06232027619342,2,"[17527, 1673]"
40,14579672.29,123.62132034355965,4,"[11224, 2065, 4443, 1468]"
20,7334490.0,64.0,1,[19200]
60,21810264.3,178.29838825369322,1,[19200]
40,14573565.92,121.06232027619343,1,[19200]
20,7302296.48,61.54748061370257,3,"[13035, 4932, 1233]"
60,21799695.92,177.06232027619342,3,"[16472, 2426, 302]"
40,14611182.139999997,124.96780429366966,4,"[10321, 6938, 724, 1217]"
20,7282905.0,61.0,3,"[15783, 2758, 659]"
60,21799504.740000002,177.5415229867973,2,"[3357, 15843]"
40,14587947.6,123.81415291737919,3,"[15044, 1499, 2657]"
20,7358514.74,66.20436631715422,4,"[5929, 9349, 2771, 1151]"
60,21832652.29,181.12132034355966,1,[19200]
40,14565374.969999999,119.10327780786685,1,[19200]
20,7296679.74,62.04152298679729,4,"[6892, 531, 3671, 8106]"
60,21788565.759999998,176.7634379765154,1,[19200]
40,14580724.74,124.04152298679729,4,"[4119, 3247, 2281, 9553]"
20,7277964.48,60.58304597359457,3,"[1200, 1084, 16916]"
60,21916759.549999997,189.84591849498614,4,"[6511, 6370, 3682, 2637]"
40,14573864.969999999,122.60327780786685,2,"[6240, 12960]"
20,7290747.92,61.72881089814671,1,[19200]
60,21810051.21,178.96544451362627,1,[19200]
40,14528475.0,118.5,1,[19200]
20,7272680.86,59.80419349992812,1,[19200]
