variant,Totalvalue,Vrijstand,waterPieces,waterarea
60,23361096.77,277.0440037,3,"[16252, 1776, 1172]"
60,23359888.05,282.6308142,2,"[15764, 3436]"
60,23359405.67,284.5417917,3,"[7275, 1423, 10502]"
60,23359316.39,297.6913365,4,"[4431, 4790, 105, 9874]"
60,23359079.48,275.8361877,2,"[4591, 14609]"
60,23358874.74,287.1828422,2,"[102, 19098]"
60,23357754.97,294.8700559,4,"[5718, 1076, 1273, 11133]"
60,23356031.68,277.4442719,4,"[17716, 190, 43, 1251]"
60,23353688.57,288.111974,4,"[6800, 6349, 508, 5543]"
60,23353456.82,285.2613716,3,"[6710, 4045, 8445]"
60,23351931.41,284.0969243,2,"[13387, 5813]"
60,23351654.75,285.8094513,4,"[13496, 78, 4471, 1155]"
60,23351513.3,281.9176537,3,"[6061, 9871, 3268]"
60,23350861.18,289.111033,3,"[11084, 8037, 79]"
60,23350632.05,274.8022907,2,"[7277, 11923]"
60,23350380.27,274.2614177,2,"[5112, 14088]"
60,23349587.1,286.2004673,4,"[8345, 2539, 1480, 6836]"
60,23348890.85,284.3812614,2,"[11588, 7612]"
60,23348119.79,284.4306146,3,"[17395, 570, 1235]"
60,23347891.1,278.4623911,4,"[12628, 1213, 1641, 3718]"
60,23347791.21,289.8399048,1,[19200]
60,23347549.55,284.8187997,2,"[15832, 3368]"
60,23346953.94,277.5477985,2,"[8993, 10207]"
60,23346570.21,289.0258202,4,"[8863, 9757, 445, 135]"
60,23345876.55,290.2190107,1,[19200]
60,23344996.85,288.0233288,3,"[4599, 6275, 8326]"
60,23344701.45,286.9174519,2,"[2519, 16681]"
60,23344196.53,284.0003185,2,"[8804, 10396]"
60,23343469.92,295.2111026,2,"[1631, 17569]"
60,23343254.02,280.3174058,4,"[11291, 1396, 6479, 34]"
60,23343109.83,275.3287598,3,"[17700, 1302, 198]"
60,23342943.42,287.6604392,2,"[4658, 14542]"
60,23342855.11,282.0218247,3,"[8833, 7519, 2848]"
60,23342030.46,280.3443284,1,[19200]
60,23341639.04,291.7208701,2,"[8982, 10218]"
60,23341376.71,285.4031242,4,"[14521, 670, 2204, 1805]"
60,23340442.01,282.7237318,4,"[8088, 6352, 4149, 611]"
60,23340312.22,273.5228298,4,"[12939, 6241, 4, 16]"
60,23340256.91,277.0703983,1,[19200]
60,23340109.06,283.2720054,2,"[9213, 9987]"
60,23340040.49,285.1488669,4,"[10399, 5, 5206, 3590]"
60,23339749.46,287.7004673,4,"[7508, 5092, 22, 6578]"
60,23339214.31,286.0280021,4,"[4021, 10344, 1685, 3150]"
60,23338906.01,288.9651057,4,"[597, 7211, 2950, 8442]"
60,23338741.53,290.0952416,3,"[2791, 5456, 10953]"
60,23338217.22,282.9887012,2,"[17262, 1938]"
60,23338121.53,291.6398692,2,"[4389, 14811]"
60,23338051.49,288.3477446,3,"[3928, 14707, 565]"
60,23336789.19,277.3621566,2,"[7766, 11434]"
60,23336638.54,280.7003736,3,"[12317, 4711, 2172]"
60,23335668.18,289.152976,3,"[10568, 2455, 6177]"
60,23335263.01,283.8349751,3,"[13701, 599, 4900]"
60,23334991.34,283.6683515,1,[19200]
60,23334433.87,289.1840308,4,"[5357, 2155, 5368, 6320]"
60,23334079.05,282.7835312,2,"[13673, 5527]"
60,23334036.34,284.8115063,3,"[3498, 11510, 4192]"
60,23333685.99,271.3546505,4,"[13500, 5274, 314, 112]"
60,23333122.03,285.7663548,3,"[18712, 426, 62]"
60,23332929.36,277.5893955,3,"[5715, 7424, 6061]"
60,23331717.73,280.6618132,1,[19200]
60,23331671.89,293.6588044,2,"[6078, 13122]"
60,23331203.33,273.869319,3,"[12569, 5258, 1373]"
60,23330843.39,274.233916,4,"[18338, 596, 100, 166]"
60,23329596.77,281.0186792,4,"[2702, 15661, 480, 357]"
60,23328363.43,293.9959213,2,"[14016, 5184]"
60,23326694.52,294.9175471,4,"[13161, 1230, 1122, 3687]"
60,23325063.6,283.433755,3,"[16948, 1123, 1129]"
60,23323972.39,281.1110618,3,"[4617, 10577, 4006]"
60,23323652.14,278.2495662,3,"[2463, 1393, 15344]"
60,23323313.73,282.2810749,1,[19200]
60,23322600.78,285.9557735,4,"[11540, 4494, 185, 2981]"
60,23322501.26,287.2336635,2,"[6676, 12524]"
60,23322184.42,283.6010158,1,[19200]
60,23322157.17,282.9376383,4,"[16094, 610, 791, 1705]"
60,23322064.16,283.5560667,1,[19200]
60,23322017.18,279.0708256,3,"[16383, 2075, 742]"
60,23321878.36,270.1635995,2,"[6656, 12544]"
60,23321830.69,283.056584,4,"[4297, 3739, 4449, 6715]"
60,23321631.5,280.1260729,3,"[5600, 10204, 3396]"
60,23320021.79,282.7082786,2,"[19026, 174]"
60,23319599.16,283.1012575,1,[19200]
60,23319223.86,276.605833,1,[19200]
60,23318990.14,275.6980969,4,"[745, 11609, 2262, 4584]"
60,23318747.48,286.5820393,4,"[5359, 4567, 562, 8712]"
60,23318197.43,283.8193787,2,"[18745, 455]"
60,23317386.53,275.0256276,2,"[2568, 16632]"
60,23317260.11,282.4354538,4,"[19004, 58, 6, 132]"
60,23316570.92,262.214282,2,"[12622, 6578]"
60,23316450.94,285.1235205,3,"[15034, 2426, 1740]"
60,23315559.52,281.3033593,1,[19200]
60,23313913.63,293.8298639,4,"[9718, 2589, 6783, 110]"
60,23313401.84,290.390078,3,"[5201, 7960, 6039]"
60,23312384.98,287.7791533,2,"[6408, 12792]"
60,23312268.32,278.3129324,3,"[261, 4828, 14111]"
60,23312202.16,287.8762032,2,"[10780, 8420]"
60,23311497.45,283.8419885,2,"[11433, 7767]"
60,23311364.36,280.4495123,2,"[1489, 17711]"
